"Present_Tmax"	"Present_Tmin"	"LDAPS_RHmin"	"LDAPS_RHmax"	"LDAPS_Tmax_lapse"	"LDAPS_Tmin_lapse"	"LDAPS_WS"	"LDAPS_LH"	"LDAPS_CC1"	"LDAPS_CC2"	"LDAPS_CC3"	"LDAPS_CC4"	"LDAPS_PPT1"	"LDAPS_PPT2"	"LDAPS_PPT3"	"LDAPS_PPT4"	"lat"	"lon"	"DEM"	"Slope"	"Solar.radiation"	"Next_Tmax"	"Next_Tmin"
28.8	22.5	40.28134155	NA	NA	21.49693027	NA	NA	0.1503198	0.091277029	0.108771097	0.057831316	0	NA	0	0	37.6046	NA	44.7624	NA	NA	28.2	19.5
NA	21.4	71.29189301	93.21128082	NA	22.36288073	NA	90.76669808	0.573985394	0.780090889	0.67324281	0.605721757	1.636845416	5.644781488	0.227548543	2.677204739	37.4697	126.995	82.2912	2.2579	5855.75293	27.5	20.8
23.8	22.9	94.18115234	NA	24.94883884	22.88690433	NA	NA	NA	0.965888735	0.935784118	NA	NA	NA	1.068083192	0.692213672	37.5776	126.938	75.0924	NA	5791.473633	NA	NA
33.1	27.3	NA	94.03666687	NA	26.71203857	8.563185493	84.32291079	NA	0.469713105	0.310181382	0.520183635	NA	NA	0.019241225	NA	37.5372	NA	15.5876	0.1554	4921.571777	32.5	26.3
NA	NA	58.80938721	97.09083557	29.38010589	24.54775444	7.408043404	63.85087478	NA	NA	0.182542238	0.045089039	3.578756697	0	0	0	37.4697	126.91	NA	1.5629	5438.388672	NA	24.8
NA	NA	NA	91.48349762	27.3204124	24.5294308	NA	NA	0.596160047	NA	NA	0.682075412	0	NA	0.052882348	0	NA	127.032	44.7624	NA	5727.288086	28.5	24.1
25.9	NA	37.56296158	95.03951263	NA	22.43637208	4.060611477	46.91144272	0.788231353	0.607300002	NA	0.458855301	NA	0.530486255	0.119605665	NA	37.5776	NA	NA	2.6865	5582.858887	NA	19.1
32	24.9	53.34301758	87.79485321	30.20412685	24.3886609	NA	NA	0.046475772	0.212033177	0.095815223	0.137962903	NA	NA	0	0	37.5372	NA	15.5876	0.1554	NA	31.6	24.6
NA	NA	NA	85.95596313	NA	NA	NA	10.96248922	NA	0.674129407	NA	0.481221912	0	0.003904015	0.026487877	0	37.5507	127.04	NA	0.5721	5640.659668	28.8	25.3
32.1	23.8	NA	84.00816345	29.92927163	24.2817497	5.988360584	NA	NA	0.271462449	0.22561654	0.166153553	0	0	0	NA	NA	127.083	NA	NA	5861.027344	31.4	24.3
NA	22.3	50.45304108	NA	29.18688484	NA	NA	NA	0.262943281	NA	0.030774824	0.026670909	0	0	NA	0	NA	126.938	NA	NA	5882.380371	NA	19.5
30.6	NA	65.36990356	88.55764008	27.92096739	24.46093111	8.246824324	21.71229655	0.226708884	0.626359455	0.69863108	0.713588862	0	0	0	0.30997279	37.5776	127.058	33.3068	0.2661	5627.421875	28.8	23.8
31.9	22.7	58.73958969	91.87032318	29.0630996	21.97873808	6.953933378	71.05402843	0.152341855	0.385439841	0.37841867	0.220072311	NA	0	0	NA	37.4967	NA	NA	0.4125	5720.690918	29.3	NA
30.5	NA	51.34940338	NA	30.44193044	25.66006803	NA	70.50348449	0.737462858	0.306819446	NA	0.112380618	NA	NA	NA	0	37.5372	NA	28.7	NA	5448.95752	30.5	24.8
27.1	24.2	56.0589447	NA	28.67969428	NA	NA	54.3038396	NA	NA	NA	0.294942394	6.791663637	0	0	NA	37.5507	126.988	132.118	0.5931	5766.102051	NA	22.1
NA	23.3	NA	91.11008453	32.79535084	23.78928861	5.635184675	98.20492617	0.238573165	NA	NA	NA	0	NA	NA	NA	37.5102	127.086	21.9668	0.1332	4709.788086	33.7	NA
NA	23.9	79.05007172	NA	NA	23.59154557	NA	39.00362164	NA	NA	0.690281749	0.088154317	1.403754234	4.2207508	0.283242598	0	37.6181	NA	53.4712	0.697	NA	NA	22.2
32.5	26.1	44.03958893	84.80461884	NA	27.68722089	7.497149348	NA	0.498688314	0.363711497	0.0849313	0.047359727	0.023434222	0	NA	0	37.5776	127.058	33.3068	0.2661	5002.308105	31.9	26.2
NA	NA	NA	93.22246552	NA	NA	5.580633809	39.54226919	0.581968393	0.301357511	0.186825208	0.084141017	NA	0	NA	NA	NA	127.083	59.8324	NA	5255.987793	32.9	25.1
31.8	27.2	50.34669113	91.16435242	32.81309495	25.22210524	NA	128.5256279	NA	NA	NA	NA	9.47989058	0	NA	0	37.4832	NA	56.4448	1.2313	5173.03125	NA	25.7
28.9	25	NA	94.72774506	28.15510983	24.80854513	NA	53.52729207	0.767470192	0.921501951	NA	0.712088981	5.284775634	17.45908781	NA	3.131187578	NA	NA	53.4712	0.697	5634.69043	28.6	23.4
32.7	NA	NA	99.02169037	30.19417181	26.33412425	12.32481921	64.50942878	0.496991114	0.469940424	0.131673543	0.15508038	0.220588345	NA	0	0	NA	NA	NA	4.7296	5299.466797	31.5	27.5
NA	NA	NA	NA	25.0789785	22.71971739	8.363932242	43.38344638	0.81195906	0.783679849	NA	0.864560939	0.045695092	NA	NA	0.917865227	37.4832	127.024	56.4448	1.2313	5771.630371	NA	23.7
31.1	23.1	66.64741516	87.79244995	NA	24.48712626	NA	45.66106188	NA	0.773879961	0.683818622	0.235826397	0	0.141422088	3.125640949	0	37.5776	127.083	NA	NA	NA	27.3	23.9
31.2	NA	53.5047493	NA	28.06635317	22.55442483	7.111677756	NA	NA	NA	0.317370233	0.130998237	NA	NA	0	NA	37.5776	126.938	75.0924	1.7678	NA	31.4	22.1
NA	27.7	NA	91.48226166	30.74876839	25.06352178	4.825991462	NA	0.851904082	0.841213359	0.691758505	0.107621051	5.654831906	2.621708343	NA	0	37.5237	126.97	19.5844	NA	4754.673828	29.6	NA
30.6	NA	53.76950455	NA	30.02378661	NA	NA	88.46319119	NA	0.298954912	0.357683261	0.246678924	NA	0	0	0	37.5102	127.086	NA	0.1332	NA	30.5	23.7
30.8	NA	NA	NA	28.46270835	23.74855659	6.590329836	47.04158688	0.936643872	0.837154496	NA	0.862584533	3.733634144	2.429842395	0.000162823	NA	NA	127.032	44.7624	NA	5517.529297	26.2	NA
27.4	23.9	NA	92.22025299	33.10469337	24.35748596	7.068856607	24.43279962	NA	NA	0.178452265	NA	0.118729455	0.014026512	NA	0	37.5507	127.04	26.298	0.5721	5834.452148	30.4	22
NA	NA	NA	NA	32.72610921	27.4386681	6.983964761	47.84212804	0.427555914	NA	NA	NA	0.010893396	NA	NA	0	37.5237	NA	17.2956	0.2223	4983.820801	NA	27.3
32.3	NA	57.0111351	91.20652008	31.51303343	26.78773985	8.494898101	86.73210065	NA	0.475037132	NA	0.52226418	0	0	0.004839625	0.205730965	37.5102	127.086	21.9668	0.1332	4920.852051	33.6	27
32.2	26.2	53.08794785	NA	NA	27.55008598	7.357553124	NA	0.279435897	0.317782287	0.0843278	0.085707653	NA	0.015092511	NA	0	37.5776	127.058	NA	NA	5034.395996	33.3	26
29.7	NA	40.31709671	81.77357483	28.32300758	NA	NA	NA	0.213551785	NA	NA	NA	NA	0	0	0	NA	127.086	21.9668	0.1332	4441.803711	28.8	21.3
31.1	23.9	52.48193359	87.12892151	30.05750781	22.79096714	NA	NA	0.113714814	0.33118917	0.374391444	NA	0	0	0	0	37.5237	NA	NA	0.2223	5693.029785	29.9	23.9
NA	21.7	NA	82.53850555	NA	21.57035166	NA	NA	0.234183281	NA	NA	0.303848302	0	0	NA	0	NA	NA	82.2912	NA	4406.334473	28.2	18.7
29.6	22.3	64.12630463	NA	29.14461211	24.55547365	11.03612119	56.15626287	0.129918724	0.276993635	0.123859198	0.247726862	0	0.006795937	0	0	37.4562	126.955	208.507	5.1782	5668.401855	NA	NA
29.5	24.3	NA	84.20617676	35.28858234	25.66415193	5.956511259	59.12217013	0.577916526	NA	0.434057899	NA	0	NA	NA	NA	37.5237	126.97	19.5844	NA	5795.938965	33.8	25.3
27.5	22.1	49.50217438	92.25378418	29.82186711	20.88547007	8.388738076	NA	0.190831312	0.237976861	0.027724032	0.000150217	NA	0	NA	NA	37.6181	127.099	53.4712	NA	5861.010254	NA	20.5
33.7	19.1	58.44659042	NA	29.34542626	23.74883267	5.665066501	56.88622308	0.195278243	NA	NA	0.215016695	0.002282297	0.501911268	0.037469991	0	NA	127.032	44.7624	0.5141	5819.559082	NA	23.3
30.7	22.4	51.6072998	95.34684753	32.12030829	25.60168944	NA	82.90708938	0.235752061	NA	NA	NA	0	0	0	0	37.6046	NA	212.335	2.785	5275.070313	30.6	NA
30.6	23.6	57.97060394	97.37627411	29.34835278	NA	NA	NA	0.067939161	0.198124283	0.270317721	NA	0	NA	0	NA	37.645	127.022	NA	2.5348	5700.435059	NA	NA
30.8	23.4	52.14782715	NA	29.88882464	23.44472289	NA	43.7600011	0.230695324	0.492078106	0.33703423	NA	0	0.006622881	NA	0	37.5372	NA	28.7	NA	NA	NA	23.9
NA	NA	NA	83.05358124	NA	27.24186607	7.081238627	NA	NA	0.328659352	NA	0.111084085	0	NA	NA	0	NA	NA	17.2956	0.2223	5016.055176	NA	27
NA	20.6	NA	NA	NA	24.27929316	7.596078048	47.29175039	NA	NA	NA	0.850244245	NA	NA	NA	6.549943005	37.5507	126.937	30.0464	0.8552	5826.164063	30.3	NA
28.6	NA	32.8404541	72.70867157	32.06614982	22.60714117	5.661747426	29.39259919	0.297624822	0.06878268	NA	0.034341017	0	0	NA	NA	NA	126.988	132.118	0.5931	5882.926758	NA	20.3
32.4	25.9	NA	83.75868225	32.42378238	27.26531897	6.218217015	13.7675088	0.121477776	0.111986859	0.228142791	0.034433082	0	NA	0	0	37.4967	126.927	30.968	0.618	5055.290527	NA	NA
33.4	NA	NA	81.62552643	32.70881993	27.05640049	7.475897292	30.24012939	0.276428294	0.349761539	0.117204153	0.080769613	0	0.012689331	NA	0	37.5776	NA	59.8324	2.6865	5016.757813	33.7	26.4
31.7	NA	NA	NA	32.26189495	NA	5.989945869	NA	0.474149051	NA	0.046264022	0.020169883	8.317686371	0	0	NA	37.6181	NA	53.4712	0.697	4906.118652	NA	NA
28.7	21.4	56.2453537	85.84648132	NA	20.71575054	NA	77.44304176	0	NA	0.075092689	NA	0	NA	NA	NA	37.6046	126.991	212.335	2.785	4769.281738	NA	20.2
25.1	22.7	NA	NA	NA	NA	9.434316099	32.57150735	0.908118028	0.640190597	0.443799339	0.387306917	NA	NA	NA	NA	NA	126.988	132.118	NA	5854.149902	NA	23
NA	NA	NA	87.85809326	NA	NA	7.690847377	NA	0.29076686	0.272953192	0.047928995	NA	0	0	0	0	37.5507	126.937	30.0464	0.8552	5578.1875	30.2	22
25.8	NA	84.24219513	NA	26.60536418	24.66918377	10.50766557	NA	NA	NA	NA	0.710977338	NA	0.306749884	0.087719493	NA	37.4697	126.91	NA	NA	5746.33252	NA	23.3
NA	NA	NA	92.47280884	30.28194326	24.28169602	4.857175628	88.27305706	0.355842462	0.417358499	0.560119398	0.641062533	0	NA	0.303716878	0.309055676	37.5776	NA	12.37	0.0985	5452.395508	30.2	NA
29.6	21.7	NA	92.54166412	31.80152576	22.9348209	NA	44.74639551	0.202052441	0.207735397	0.146475122	0.001690351	0	NA	NA	0	37.6046	127.032	44.7624	0.5141	5836.714844	30.8	21.7
30.6	25.4	49.01731491	86.24835968	32.23028489	NA	6.912038257	57.42561805	NA	0.184811417	NA	0.277551798	0.001953125	0	0	0	37.5372	NA	28.7	0.6233	5663.089355	NA	25.5
NA	21.7	77.1364212	97.00870514	26.97010019	NA	9.471884052	24.48417542	0.51935174	0.387404796	NA	NA	0.154898425	0	NA	NA	37.5507	NA	132.118	0.5931	NA	26.1	22.7
NA	21.3	NA	94.66261292	28.33026961	NA	6.433855961	NA	0.91084246	0.814438699	0.607121446	0.783998473	4.963573694	2.847128912	NA	0.259869849	NA	127.099	53.4712	0.697	5518.56543	NA	22.7
NA	NA	72.07697296	91.02993774	26.71835382	23.60285378	NA	NA	0.099153485	0.389387037	0.574293982	0.457442618	0	NA	0	0	37.5237	NA	17.2956	NA	5758.557617	29.6	22.8
31	22.1	50.02152252	88.49790955	31.87609051	NA	6.991613408	80.46567408	0.248382175	NA	NA	0.079476705	NA	0.001572166	NA	NA	NA	127.086	21.9668	NA	5665.337891	NA	NA
31.4	24	NA	97.96800995	NA	23.85768346	8.095520178	48.04164193	0.461497047	0.782917469	0.445469217	0.173115361	NA	3.054285723	0.115618999	0	37.6181	127.004	146.554	4.7296	5479.45752	29.4	24.3
29.4	NA	NA	86.11423492	31.91608332	NA	NA	49.49368787	0.228927621	0.07965715	0.001275794	NA	0	0	0	0	NA	NA	NA	0.2223	NA	33	NA
26.5	NA	58.61016083	94.40353394	NA	NA	5.735587945	90.27744834	0.521843936	0.45965128	0.156708013	0.081531957	0.018076065	0	0	0	37.4697	126.995	NA	2.2579	5241.705566	32	23.4
33.8	25.3	42.73816681	91.6412735	30.55032537	22.63597403	7.962210099	48.5481861	0.152882333	0.064267333	0.007658504	0.20274804	NA	0	0	0	37.4697	126.91	52.518	1.5629	5782.484375	33.1	21.9
NA	24.6	65.50108337	87.81413269	30.40978353	26.4673381	7.755535324	31.65648723	0.210272306	0.241316565	0.240614364	0.195019492	0	0	NA	0	37.5507	126.988	132.118	NA	5377.179199	29.9	24.5
25.2	NA	NA	NA	NA	NA	NA	37.86343427	0.920863499	0.625465324	0.470433924	NA	2.529417116	0.000307943	0	0	37.5776	126.938	75.0924	1.7678	5824.878906	25.7	24
NA	20.8	58.69945908	89.75939178	NA	20.74724626	8.701507509	62.61341123	NA	0.203440656	0.273626439	NA	0	0	0	0	NA	126.991	212.335	2.785	5855.396973	28.4	20.5
NA	27.2	67.00186157	99.44548798	31.86732625	NA	6.287094374	77.1115194	0.573226212	0.446766304	0.044387797	0.017458391	NA	0.011137955	NA	0	NA	NA	45.716	2.5348	5340.643555	32.1	NA
NA	23.1	50.91739273	84.63786316	28.81756851	22.55964685	NA	56.29708107	0.771235583	0.496508801	0.081599983	NA	NA	0.008676727	0	NA	37.5102	NA	54.6384	0.1457	5769.900879	28.8	24
30.8	24.7	NA	87.98408508	31.94015774	NA	9.498005172	NA	NA	0.29176721	0.052830079	0.018600366	0.041702201	0	0	0	37.6046	127.032	NA	0.5141	4974.867188	31.7	26.2
30.6	22.9	69.1919632	NA	NA	24.1298181	NA	35.54637841	0.214936446	NA	0.653478759	0.672641156	0	0	0.005857666	0.562610898	37.6046	NA	NA	0.5141	5633.040527	28.3	NA
27.8	24	61.26266098	89.62688446	28.28198794	NA	7.521948397	41.03588716	0.280719254	0.237900297	0.068600958	NA	0	0	0	0	37.5237	NA	17.2956	NA	5557.387695	NA	NA
NA	21.7	51.4611969	92.59851837	NA	22.20946271	NA	96.75011241	0.128851753	NA	0.384719517	0.206411695	NA	0	0	0	37.6181	127.099	53.4712	0.697	5715.19873	NA	21.8
30.3	NA	NA	NA	NA	25.16493115	NA	97.02001921	0.244958645	0.411977866	NA	0.343358787	0	0	0	0	37.5776	126.838	12.37	0.0985	5645.98291	NA	NA
NA	19.6	67.76197815	97.22083282	28.22805298	21.66534837	NA	54.57535836	NA	NA	0.636301108	0.857583847	NA	NA	NA	7.648327167	37.6046	NA	212.335	2.785	NA	27.1	NA
31.7	NA	48.34975815	NA	30.60305944	23.76453798	5.625537048	NA	0.065237734	0.058144455	0.215092972	NA	NA	0	0	NA	NA	127.086	21.9668	NA	NA	32.7	23.2
29	22.9	30.86375618	79.94783783	31.45951567	NA	NA	29.2272342	0.671329276	0.61306182	NA	NA	0.000539932	0.357464781	NA	0	37.5776	NA	33.3068	0.2661	NA	28.8	NA
NA	24.1	61.51745987	96.06399536	28.9276529	24.96208243	7.176547954	NA	NA	NA	NA	NA	3.228300721	0	0	0	37.5372	NA	15.5876	0.1554	5432.126465	31.8	25.3
28.4	20.5	64.98336029	94.58346558	NA	22.03053365	NA	58.63985475	0.012016949	NA	0.695338058	NA	NA	NA	0.080535139	10.11152856	37.4562	126.955	NA	5.1782	5847.944824	28	19.9
30	21.3	57.95787048	NA	NA	NA	5.869878928	89.33182446	NA	NA	NA	0.001589011	NA	0	0.007545544	NA	NA	127.135	35.038	NA	4563.660156	31.4	21.5
33.5	23	64.03334045	94.19757843	29.4324738	NA	7.157177736	NA	0.021723168	NA	0.718360524	0.84339246	0	0	0.090348106	8.755219323	37.5507	127.135	35.038	0.5055	NA	31.3	NA
26.7	24.2	NA	NA	26.95941031	NA	5.180620442	NA	NA	0.546026541	NA	0.338548324	4.171667179	NA	0	0	37.645	127.022	45.716	2.5348	NA	26.6	24
32.8	23.2	47.83355713	91.90283966	33.71660909	26.87971441	6.140090783	102.4116144	0.213714359	NA	NA	0.003014092	NA	0	NA	NA	NA	126.995	82.2912	2.2579	NA	32.9	24.2
26	NA	93.34365845	98.15362549	25.9528242	24.22854317	10.74956586	40.33789962	NA	0.78384115	0.896987804	NA	NA	1.868569461	2.915809542	0.000445922	37.645	127.022	45.716	2.5348	5741.361328	NA	23.5
33.1	NA	NA	92.78866577	26.42219299	23.50219378	7.208945612	69.65978018	0.090159249	NA	NA	NA	0	0	NA	0	NA	126.891	15.5876	NA	5759.94873	30.3	23.1
NA	24.7	NA	93.70715332	29.41367283	24.14087509	4.474293311	58.23845043	NA	0.782584464	0.605936372	0.076267349	1.357415318	4.466812919	0.352901869	0	NA	NA	75.0924	NA	4798.291504	28.1	22.3
NA	NA	NA	86.1071167	NA	22.39081678	7.683878968	15.40155137	NA	0.537682479	0.095074012	NA	0.005924195	0.002511634	NA	0	37.4967	126.927	NA	0.618	5754.252441	29.4	NA
28.9	24.2	56.3500824	NA	30.47607544	NA	NA	78.68391447	0.121791045	0.06748353	0.20654709	0.082743222	NA	0	0	0	NA	127.004	NA	4.7296	NA	32.2	23.7
NA	21.8	37.73904037	80.48957062	NA	NA	6.222363114	52.72968284	0.340994729	0.239214064	NA	0.143692909	NA	NA	NA	0.097318629	37.5102	127.042	54.6384	0.1457	5855.803223	32.5	22.5
29.4	22.8	65.4580307	NA	NA	22.88518028	NA	NA	0.238376202	0.485961691	NA	0.17301692	NA	0.180825664	0	0	37.5776	126.838	12.37	NA	5720.304688	31.6	23.8
28.3	23.8	NA	NA	NA	NA	6.975768894	NA	NA	NA	0.325212437	0.335402221	1.395474141	NA	0.750999053	0.011296176	37.5507	NA	NA	0.5721	5688.612305	30.2	21.8
32.5	21.4	45.90322113	NA	NA	NA	5.35316967	NA	0.187416902	NA	0.133977937	0.543133219	0	0	NA	0	NA	NA	NA	NA	4803.37207	33	24.2
32.8	23.2	65.09393311	83.50121307	27.67330449	24.21728724	NA	8.946515381	NA	0.394273117	NA	NA	0	0	NA	0	37.5776	127.058	33.3068	NA	NA	29.4	23
32.1	22.3	34.38392639	70.68599701	32.61826187	23.97862206	NA	13.76520093	0.043974849	5.62e-06	0.013265704	0	NA	0	NA	NA	37.5776	127.058	33.3068	NA	4652.430664	32.4	23
33.9	27.3	78.70860291	91.88885498	30.53553808	28.03794937	8.36789606	NA	NA	NA	NA	0.141872633	1.007148981	NA	0	NA	NA	127.086	21.9668	0.1332	5200.162598	NA	NA
